,address,at_street,description,latitude,location_type,longitude,municipality,name,on_street,platform_code,platform_name,vehicle_type,wheelchair_boarding
NHRML-0055-02,,,West Medford - Commuter Rail - Track 2 (Boston),42.421776,0,-71.133342,Medford,West Medford,,2,Track 2 (Boston),2.0,2
7635,,Church Street,,42.355848,0,-71.190193,Newton,Washington St @ Church St,Washington Street,,,3.0,1
3967,,Snell Street,,42.153678,0,-71.008544,Holbrook,S Franklin St opp Norfolk Rd,South Franklin Street,,,3.0,1
2861,,Monument Street,,42.378055,0,-71.059733,Boston,121 Bunker Hill St opp Lexington St,Bunker Hill Street,,,3.0,1
NEC-2108-02,,,Sharon - Commuter Rail - Track 2 (Boston),42.124553,0,-71.184468,Sharon,Sharon,,2,Track 2 (Boston),2.0,1
5926,,Stratford Road,,42.457983,0,-71.055137,Melrose,Upham St @ Stratford Rd,Upham Street,,,3.0,1
DB-2205-01,,,Fairmount - Commuter Rail - Track 1 (Outbound),42.253638,0,-71.11927,Boston,Fairmount,,1,Track 1 (Outbound),2.0,1
2693,,Billingham Street,,42.400747,0,-71.11915,Somerville,Broadway @ Billingham St,Broadway,,,3.0,1
4032,,Franklin Street,,42.211708,0,-71.01977,Braintree,579 Granite St,Granite Street,,,3.0,1
8532,,Stearns Street,,42.321058,0,-71.19426,Newton,Parker St @ Stearns St,Parker Street,,,3.0,0
17011,,Winter Street,,42.397728,0,-71.259622,Waltham,Wyman St @ Winter St,Wyman Street,,,3.0,1
PB-0245-S,,,Hanson - Commuter Rail - Track 1 (All Trains),42.043967,0,-70.882438,Hanson,Hanson,,1,Track 1 (All Trains),2.0,1
5798,,Northshore Road,,42.408555,0,-70.993879,Revere,Beach St @ N Shore Rd,Beach Street,,,3.0,1
8211,,Linden Street,,42.312715,0,-71.219553,Newton,Elliot St @ Linden St,Elliot Street,,,3.0,1
4100,,McDonald Street,,42.24121,0,-71.019643,Quincy,Centre St @ McDonald St,Centre Street,,,3.0,1
10012,,Wareham Street,,42.338361,0,-71.066667,Boston,Albany St @ Wareham St,Albany Street,,,3.0,1
node-743-lobby,,,Oak Grove - Top of Orange Line elevator,42.436982,3,-71.070951,Malden,Oak Grove,,,,,1
node-336-entrance,,,Davis - Top of Escalator 336,42.396792,3,-71.121828,Somerville,Davis,,,,,1
3714,,Gordon Road,,42.22461,0,-70.969039,Braintree,Quincy Ave @ Gordon Rd,Quincy Avenue,,,3.0,1
7128,,Roundy Street,,42.55304,0,-70.878737,Beverly,Cabot St @ Roundy St,Cabot Street,,,3.0,1
GB-0296-02,,,West Gloucester - Commuter Rail - Track 2 (Boston),42.611933,0,-70.705417,Gloucester,West Gloucester,,2,Track 2 (Boston),2.0,1
1332,,Townsend Street,,42.31687,0,-71.086525,Boston,Humboldt Ave @ Townsend St,Humboldt Avenue,,,3.0,1
node-masta-unpaid-lobby,,,Massachusetts Avenue - Unpaid lobby,42.341462,3,-71.083532,Boston,Massachusetts Avenue,,,,,1
395,,Walnut Avenue,,42.323909,0,-71.082602,Boston,Warren St @ Whiting St,Warren Street,,,3.0,1
1147,,Shawmut Avenue,,42.328969,0,-71.086206,Boston,Dudley St @ Guild Row,Dudley Street,,,3.0,1
559,,Corona Street,,42.301443,0,-71.068069,Boston,Geneva Ave @ Topliff St,Geneva Avenue,,,3.0,1
